trial_index,arm_name,trial_status,generation_method,valid_loss,hid,batch_size,layers,lr,aggregation
11,11_0,COMPLETED,BoTorch,7.874692916870117,256,1024,2,0.003436223622321329,max
15,15_0,COMPLETED,BoTorch,7.9220781326293945,128,512,2,0.0008097637948224553,sum
9,9_0,COMPLETED,Sobol,7.928381443023682,256,512,2,0.0004280324460519718,sum
0,0_0,COMPLETED,Sobol,7.934199333190918,128,512,2,0.009578778465390004,sum
2,2_0,COMPLETED,Sobol,7.939438819885254,512,1024,2,0.002269896027468672,max
7,7_0,COMPLETED,Sobol,7.945897102355957,128,256,2,0.005029903871622243,sum
18,18_0,COMPLETED,BoTorch,7.946407318115234,512,1024,2,0.00014518055172091428,max
14,14_0,COMPLETED,BoTorch,7.976986885070801,128,1024,2,0.01,max
12,12_0,COMPLETED,BoTorch,8.03259563446045,256,1024,2,0.00011095123004689565,max
19,19_0,COMPLETED,BoTorch,8.055756568908691,512,1024,2,0.0001,max
8,8_0,COMPLETED,Sobol,8.105608940124512,128,1024,4,0.0015674711852540185,mean
4,4_0,COMPLETED,Sobol,8.110288619995117,256,1024,4,0.00032741574966774065,max
3,3_0,COMPLETED,Sobol,8.133064270019531,256,512,4,0.0006233564666377593,mean
17,17_0,COMPLETED,BoTorch,8.142485618591309,256,1024,2,0.0018292744198119913,max
6,6_0,COMPLETED,Sobol,8.148210525512695,256,512,4,0.00013797292428694195,max
5,5_0,COMPLETED,Sobol,8.15991497039795,512,256,2,0.0011922784581771108,sum
16,16_0,COMPLETED,BoTorch,8.239119529724121,256,1024,2,0.01,max
13,13_0,COMPLETED,BoTorch,8.415573120117188,256,1024,2,0.01,sum
1,1_0,COMPLETED,Sobol,8.499216079711914,512,256,4,0.0002627560310195539,max
10,10_0,COMPLETED,BoTorch,9.042805671691895,512,1024,4,0.01,sum
